profile_id,profile_name
11,a1
4,avengers_tdwc
26,cerebro
27,cerebro
62,Cerebro_Hive
81,Cerebro_Hive_V2
58,d
65,DAAS_SNC1_STAGING
2425,DATA_REPLICATOR_OPTIMUS_MYSQL
78,dkabulski_tdwb
72,dwh_manage_MySQL
29,f
37,falcon_MySQL
59,falcon_readonly
18,GENCO
35,GPN_DATA_LUP1_STG
68,GPN_DATA_LUP1_STG
64,GPN_DATA_SNC1_STG
66,GPN_UTILITY_SNC1_STG
36,GPN_WAREHOUSE_LUP1_STG
17,gt1
70,JapanBIDB
57,local
55,localdev2
73,localdev_copy
51,Mysql
6,mysql1
10,MySQL_Profile
25,optimus
53,pitstop3
47,postgres_new
74,Postgres_Profile
30,postgres_test
31,postgrs
23,prof1
32,PROFILE_POSTGRES
52,sample
61,sample
41,sftp
5,sftppass
44,SFTP_GRID_KEY
40,SFTP_Profile
43,SFTP_Test
16,t1
28,td
54,td
13,td1
86,tdjdbc
49,TDWB
50,tdwb
69,tdwb
80,tdwb_Teradata
2,tdwc
7,TDWC
24,tdwc
48,TDWC
76,tdwc
71,TDWC-Sandbox
19,TDWC_GOODS_02
42,TDWC_prajamani
39,tdwc_Teradata
60,td_dm
22,test
12,test_sftp
67,TripAdvisor_DATA_SNC1_Staging
38,US_Teradata
